,estacion,link,localidad,temp_C,razon_lluvia,HR,vel_viento,racha_viento,acum_calc,letra_dir,REGIÓN_2,MPO_2,REF
105,IAMECA1,https://www.wunderground.com/dashboard/pws/IAMECA1,"Ameca, MX",23.055555555555557,0.0,26,6.436,22.526,0.0,SE,VALLES,Ameca,UMPC
106,ITEQUI3,https://www.wunderground.com/dashboard/pws/ITEQUI3,"Tequila, MX",23.5,0.0,20,4.6661,9.3322,0.0,ESE,VALLES,Tequila,UMPC
107,ITALA5,https://www.wunderground.com/dashboard/pws/ITALA5,"Tala, MX",24.388888888888893,0.0,26,6.5969,14.8028,0.0,E,VALLES,Tala,Localidad Ahuisculco
108,ITALA4,https://www.wunderground.com/dashboard/pws/ITALA4,"Tala, MX",25.38888888888889,0.0,24,4.1834,11.4239,0.0,WNW,VALLES,Tala,Calle Mezquite
109,IELARE6,https://www.wunderground.com/dashboard/pws/IELARE6,"El Arenal, MX",24.111111111111114,0.0,22,4.505199999999999,12.5502,0.0,NNW,VALLES,El Arenal,localidad El Roble
112,IIXTLN1,https://www.wunderground.com/dashboard/pws/IIXTLN1,"Ixtlán del Río, MX",24.222222222222218,0.0,19,19.7907,25.5831,0.0,ESE,,,
114,ILEN82,https://www.wunderground.com/dashboard/pws/ILEN82,"León, MX",16.72222222222222,0.0,48,7.2405,9.3322,0.0,SSE,,,
115,INOCHI2,https://www.wunderground.com/dashboard/pws/INOCHI2,"Nochistlán de Mejía, MX",18.88888888888889,0.0,23,8.688600000000001,9.654,0.0,N,,,
119,ISANFR63,https://www.wunderground.com/dashboard/pws/ISANFR63,"San Francisco del Rincón, MX",21.77777777777778,0.0,39,11.263,12.872,0.0,SSW,,,
120,ISCHIL40,https://www.wunderground.com/dashboard/pws/ISCHIL40,"Súchil, MX",16.5,0.0,15,11.263,20.917,0.0,NW,,,
121,IURUAP1,https://www.wunderground.com/dashboard/pws/IURUAP1,"Uruapan, MX",21.27777777777778,0.0,54,9.9758,10.7803,0.0,SSE,,,
122,IYURCU1,https://www.wunderground.com/dashboard/pws/IYURCU1,"Yurécuaro, MX",22.722222222222225,0.0,41,7.2405,9.3322,0.0,SE,,,
